Ref,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,331.282,-91.5924,0,bottom
C2,0.1uF,C_0805_2012Metric,321.6656,-86.9696,90,bottom
C3,0.1uF,C_0805_2012Metric,327.3552,-100.3656,270,bottom
C4,10uF,C_0805_2012Metric,322.2244,-100.33,270,bottom
C5,1uF,C_0805_2012Metric,316.7532,-93.4212,180,bottom
D1,BAV70,SOT-23,47.625,-36.5125,270,bottom
D2,BAV70,SOT-23,55.5625,-55.5625,270,bottom
D3,BAV70,SOT-23,57.94375,-74.6125,270,bottom
D4,BAV70,SOT-23,69.85,-93.6625,270,bottom
D5,BAV70,SOT-23,50.8,-112.7125,270,bottom
D6,BAV70,SOT-23,85.725,-36.5125,270,bottom
D7,BAV70,SOT-23,95.25,-55.5625,270,bottom
D8,BAV70,SOT-23,100.0125,-74.6125,270,bottom
D9,BAV70,SOT-23,109.5375,-93.6625,270,bottom
D10,BAV70,SOT-23,103.1875,-112.7125,270,bottom
D11,BAV70,SOT-23,123.825,-36.5125,270,bottom
D12,BAV70,SOT-23,133.35,-55.5625,270,bottom
D13,BAV70,SOT-23,138.1125,-74.6125,270,bottom
D14,BAV70,SOT-23,147.6375,-93.6625,270,bottom
D15,BAV70,SOT-23,137.31875,-112.7125,270,bottom
D16,BAV70,SOT-23,161.925,-36.5125,270,bottom
D17,BAV70,SOT-23,171.45,-55.5625,270,bottom
D18,BAV70,SOT-23,176.2125,-74.6125,270,bottom
D19,BAV70,SOT-23,185.7375,-93.6625,270,bottom
D20,BAV70,SOT-23,212.725,-112.7125,270,bottom
D21,BAV70,SOT-23,200.025,-36.5125,270,bottom
D22,BAV70,SOT-23,209.55,-55.5625,270,bottom
D23,BAV70,SOT-23,214.3125,-74.6125,270,bottom
D24,BAV70,SOT-23,223.8375,-93.6625,270,bottom
D25,BAV70,SOT-23,257.175,-112.7125,270,bottom
D26,BAV70,SOT-23,238.125,-36.5125,270,bottom
D27,BAV70,SOT-23,247.65,-55.5625,270,bottom
D28,BAV70,SOT-23,252.4125,-74.6125,270,bottom
D29,BAV70,SOT-23,261.9375,-93.6625,270,bottom
D30,BAV70,SOT-23,295.275,-112.7125,270,bottom
D31,BAV70,SOT-23,276.225,-36.5125,270,bottom
D32,BAV70,SOT-23,285.75,-55.5625,270,bottom
D33,BAV70,SOT-23,290.5125,-69.85,270,bottom
D34,BAV70,SOT-23,307.18125,-93.6625,270,bottom
D35,BAV70,SOT-23,312.7375,-36.5125,270,bottom
D40,BAV70,SOT-23,352.425,-36.5125,270,bottom
D41,BAV70,SOT-23,352.425,-55.5625,270,bottom
D42,BAV70,SOT-23,352.425,-74.6125,270,bottom
D43,BAV70,SOT-23,352.425,-93.6625,270,bottom
D44,BAV70,SOT-23,360.0196,-108.458,270,bottom
D45,BAV70,SOT-23,390.525,-34.13125,270,bottom
D46,BAV70,SOT-23,388.62,-54.4576,270,bottom
D47,BAV70,SOT-23,390.525,-74.6125,270,bottom
D48,BAV70,SOT-23,389.1788,-97.5868,270,bottom
D49,BAV70,SOT-23,390.525,-112.7125,270,bottom
F1,Polyfuse,Fuse_0805_2012Metric,324.2564,-32.3596,0,bottom
R1,5.1kΩ,R_0805_2012Metric,319.024,-32.3596,0,bottom
R2,5.1kΩ,R_0805_2012Metric,328.3204,-32.3088,180,bottom
R3,22Ω,R_0805_2012Metric,316.7888,-97.7392,180,bottom
R4,22Ω,R_0805_2012Metric,316.7888,-95.758,180,bottom
R5,10kΩ,R_0805_2012Metric,319.3288,-87.8332,270,bottom
R6,10kΩ,R_0805_2012Metric,331.2668,-96.1644,0,bottom
U1,PRTR5V0U2X,SOT-143,324.4088,-37.8968,0,bottom
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,324.64375,-93.6625,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,324.0024,-20.4724,0,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact,324.5104,-86.6648,180,bottom
